equivalence_id,member_count,base_name,render_bucket,members,basis
SHADER_EQ_0129,1,normal_spec_reflect_emissivenight,0,normal_spec_reflect_emissivenight.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0130,1,normal_spec_reflect_emissivenight,1,normal_spec_reflect_emissivenight_alpha.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0131,1,normal_spec_tnt,0,normal_spec_tnt.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0132,1,normal_spec_um,0,normal_spec_um.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0133,1,normal_spec_wrinkle,0,normal_spec_wrinkle.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0134,1,normal_terrain_wet,0,normal_terrain_wet.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0135,1,normal_tnt,0,normal_tnt.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0136,1,normal_tnt,1,normal_tnt_alpha.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0137,1,normal_um,0,normal_um.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0138,1,normal_um_tnt,0,normal_um_tnt.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0139,1,parallax,0,parallax.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0140,1,parallax_specmap,0,parallax_specmap.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0141,1,ped,0,ped.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0142,1,ped_alpha,1,ped_alpha.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0143,1,ped_cloth,0,ped_cloth.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0144,1,ped_cloth_enveff,0,ped_cloth_enveff.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0145,1,ped_decal,2,ped_decal.sps,"same base shader, render bucket, parameters and layouts"
