selector,equivalence_id,member_count,base_name,render_bucket,structure_fingerprint,members,basis
normal_um.sps,SHADER_EQ_0137,1,normal_um,0,4f4575e6610e45b2,normal_um.sps,"same base shader, render bucket, parameters and layouts"
normal_um_tnt.sps,SHADER_EQ_0138,1,normal_um_tnt,0,5ab9886b124aaaba,normal_um_tnt.sps,"same base shader, render bucket, parameters and layouts"
parallax.sps,SHADER_EQ_0139,1,parallax,0,569fa79044938de5,parallax.sps,"same base shader, render bucket, parameters and layouts"
parallax_specmap.sps,SHADER_EQ_0140,1,parallax_specmap,0,baa9b7b4878326a3,parallax_specmap.sps,"same base shader, render bucket, parameters and layouts"
ped.sps,SHADER_EQ_0141,1,ped,0,c64d1748346c8d0d,ped.sps,"same base shader, render bucket, parameters and layouts"
ped_alpha.sps,SHADER_EQ_0142,1,ped_alpha,1,7b2824b46ec95c38,ped_alpha.sps,"same base shader, render bucket, parameters and layouts"
ped_cloth.sps,SHADER_EQ_0143,1,ped_cloth,0,2d55e5b38cb3913e,ped_cloth.sps,"same base shader, render bucket, parameters and layouts"
ped_cloth_enveff.sps,SHADER_EQ_0144,1,ped_cloth_enveff,0,2719910826fe1444,ped_cloth_enveff.sps,"same base shader, render bucket, parameters and layouts"
ped_decal.sps,SHADER_EQ_0145,1,ped_decal,2,97a7f52ec16a7ef4,ped_decal.sps,"same base shader, render bucket, parameters and layouts"
ped_decal_decoration.sps,SHADER_EQ_0146,1,ped_decal_decoration,2,8d965a96cc98ea41,ped_decal_decoration.sps,"same base shader, render bucket, parameters and layouts"
ped_decal_expensive.sps,SHADER_EQ_0147,1,ped_decal_exp,2,9120f49511bafc5c,ped_decal_expensive.sps,"same base shader, render bucket, parameters and layouts"
ped_decal_nodiff.sps,SHADER_EQ_0148,1,ped_decal_nodiff,2,a4fd0c300ed36346,ped_decal_nodiff.sps,"same base shader, render bucket, parameters and layouts"
ped_default.sps,SHADER_EQ_0149,1,ped_default,0,684689f349d84573,ped_default.sps,"same base shader, render bucket, parameters and layouts"
ped_default_cloth.sps,SHADER_EQ_0150,1,ped_default_cloth,0,ec72999c5cff5d87,ped_default_cloth.sps,"same base shader, render bucket, parameters and layouts"
ped_default_cutout.sps,SHADER_EQ_0151,1,ped_default,3,684689f349d84573,ped_default_cutout.sps,"same base shader, render bucket, parameters and layouts"
ped_default_enveff.sps,SHADER_EQ_0152,1,ped_default_enveff,0,19585bf14677d457,ped_default_enveff.sps,"same base shader, render bucket, parameters and layouts"
ped_default_mp.sps,SHADER_EQ_0153,1,ped_default_mp,0,a71a55af745573df,ped_default_mp.sps,"same base shader, render bucket, parameters and layouts"
ped_default_palette.sps,SHADER_EQ_0154,1,ped_default_palette,0,469945c650d035ca,ped_default_palette.sps,"same base shader, render bucket, parameters and layouts"
ped_emissive.sps,SHADER_EQ_0155,1,ped_emissive,0,1a743685490460be,ped_emissive.sps,"same base shader, render bucket, parameters and layouts"
ped_enveff.sps,SHADER_EQ_0156,1,ped_enveff,0,4649cf43dbd949c2,ped_enveff.sps,"same base shader, render bucket, parameters and layouts"
